年份,暴力犯罪,财产犯罪,谋杀,强奸,抢劫,入室盗窃,车辆盗窃
1960,288460,3095700,9110,17190,107840,912100,328200
1961,289390,3198600,8740,17220,106670,949600,336000
1962,301510,3450700,8530,17550,110860,994300,366800
1963,316970,3792500,8640,17650,116470,1086400,408300
1964,364220,4200400,9360,21420,130390,1213200,472800
1965,387390,4352000,9960,23410,138690,1282500,496900
1966,430180,4793300,11040,25820,157990,1410100,561200
1967,499930,5403500,12240,27620,202910,1632100,659800
1968,595010,6125200,13800,31670,262840,1858900,783600
1969,661870,6749000,14760,37170,298850,1981900,878500
1970,738820,7359200,16000,37990,349860,2205000,928400
1971,816500,7771700,17780,42260,387700,2399300,948200
1972,834900,7413900,18670,46850,376290,2375500,887200
1973,875910,7842200,19640,51400,384220,2565500,928800
1974,974720,9278700,20710,55400,442400,3039200,977100
1975,1039710,10252700,20510,56090,470500,3265300,1009600
1976,1004210,10345500,18780,57080,427810,3108700,966000
1977,1029580,9955000,19120,63500,412610,3071500,977700
1978,1085550,10123400,19560,67610,426930,3128300,1004100
1979,1208030,11041500,21460,76390,480700,3327700,1112800
1980,1344520,12063700,23040,82990,565840,3795200,1131700
1981,1361820,12061900,22520,82500,592910,3779700,1087800
1982,1322390,11652000,21010,78770,553130,3447100,1062400
1983,1258090,10850500,19310,78920,506570,3129900,1007900
1984,1273280,10608500,18690,84230,485010,2984400,1032200
1985,1328800,11102600,18980,88670,497870,3073300,1102900
1986,1489169,11722700,20613,91459,542775,3241410,1224137
1987,1483999,12024700,20096,91110,517704,3236184,1288674
1988,1566220,12356900,20680,92490,542970,3218100,1432900
1989,1646040,12605400,21500,94500,578330,3168200,1564800
1990,1820130,12655500,23440,102560,639270,3073900,1635900
1991,1911770,12961100,24700,106590,687730,3157200,1661700
1992,1932270,12505900,23760,109060,672480,2979900,1610800
1993,1926020,12218800,24530,106010,659870,2834800,1563100
1994,1857670,12131900,23330,102220,618950,2712800,1539300
1995,1798790,12063900,21610,97470,580510,2593800,1472400
1996,1688540,11805300,19650,96250,535590,2506400,1394200
1997,1634770,11558175,18208,96153,498534,2460526,1354189
1998,1531044,10944590,16914,93103,446625,2329950,1240754
1999,1426044,10208334,15522,89411,409371,2100739,1152075
2000,1425486,10182586,15586,90178,408016,2050992,1160002
2001,1439480,10437480,16037,90863,423557,2116531,1228391
2002,1423677,10455277,16229,95235,420806,2151252,1246646
2003,1383676,10442862,16528,93883,414235,2154834,1261226
2004,1360088,10319386,16148,95089,401470,2144446,1237851
2005,1390745,10174754,16740,94347,417438,2155448,1235859
2006,1418043,9983568,17030,92757,447403,2183746,1192809
2007,1408337,9843481,16929,90427,445125,2176140,1095769
2008,1392628,9767915,16442,90479,443574,2228474,958629
2009,1325896,9337060,15399,89241,408742,2203313,795652
2010,1251248,9112625,14772,85593,369089,2168457,739565
2011,1206031,9052743,14661,84175,354772,2185140,716508
2012,1217067,9001992,14866,85141,355051,2109932,723186
2013,1199684,8650761,14319,82109,345095,1931835,700294
2014,1197987,8277829,14249,84041,325802,1729806,689527
